run_id,config_name,split_protocol,model,evaluation_split,seed,metric,value
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,n,8253.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,accuracy,0.6772082878953108
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,balanced_accuracy,0.5
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,macro_precision,0.3386041439476554
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,macro_recall,0.5
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,macro_f1,0.4037711313394018
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,weighted_f1,0.546874313111818
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,brier_score,0.2185972229822166
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,log_loss,0.6289558912627606
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,ece_10,1.6763175742950942e-05
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,true_negatives,0.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,false_positives,2664.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,false_negatives,0.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,validation,42,true_positives,5589.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,n,8253.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,accuracy,0.6772082878953108
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,balanced_accuracy,0.5
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,macro_precision,0.3386041439476554
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,macro_recall,0.5
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,macro_f1,0.4037711313394018
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,weighted_f1,0.546874313111818
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,brier_score,0.2185972229822166
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,log_loss,0.6289558912627606
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,ece_10,1.6763175742950942e-05
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,true_negatives,0.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,false_positives,2664.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,false_negatives,0.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,majority,test,42,true_positives,5589.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,n,8253.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,accuracy,0.9886102023506604
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,balanced_accuracy,0.9886438370737888
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,macro_precision,0.9854390924637312
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,macro_recall,0.9886438370737888
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,macro_f1,0.9870170977978292
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,weighted_f1,0.9886289382741458
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,brier_score,0.0109210697300036
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,log_loss,0.048677043371179
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,ece_10,0.0096192411755416
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,true_negatives,2634.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,false_positives,30.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,false_negatives,64.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,true_positives,5525.0
